x-axis,y-axis
2,31.046728971962615
3,30.785046728971963
5,30.130841121495326
6,30.785046728971963
8,30.785046728971963
9,31.30841121495327
11,30.130841121495326
12,30.130841121495326
14,31.439252336448597
15,31.439252336448597
17,31.046728971962615
19,31.700934579439252
20,31.046728971962615
22,30.654205607476637
23,31.046728971962615
25,31.046728971962615
26,31.046728971962615
28,30.130841121495326
29,30.91588785046729
31,31.046728971962615
32,31.046728971962615
34,30.130841121495326
36,30.91588785046729
37,31.046728971962615
39,30.654205607476637
40,30.785046728971963
42,31.570093457943926
43,31.046728971962615
45,31.046728971962615
46,31.046728971962615
48,31.177570093457945
50,31.177570093457945
51,31.177570093457945
53,31.177570093457945
54,31.177570093457945
56,31.177570093457945
57,31.30841121495327
59,31.177570093457945
60,31.177570093457945
62,31.177570093457945
63,31.177570093457945
65,31.177570093457945
67,31.177570093457945
68,31.177570093457945
70,31.570093457943926
71,31.439252336448597
73,78.14953271028037
74,31.046728971962615
76,30.39252336448598
77,31.439252336448597
79,31.046728971962615
81,30.39252336448598
82,31.570093457943926
84,31.439252336448597
85,77.62616822429908
87,31.962616822429908
88,31.177570093457945
90,31.177570093457945
91,31.177570093457945
93,31.046728971962615
94,31.177570093457945
96,31.046728971962615
98,31.570093457943926
99,31.046728971962615
101,31.177570093457945
102,31.046728971962615
104,31.177570093457945
105,31.046728971962615
107,31.177570093457945
108,31.046728971962615
110,30.261682242990656
111,31.177570093457945
113,31.046728971962615
115,31.439252336448597
116,31.046728971962615
118,30.261682242990656
119,31.046728971962615
121,31.177570093457945
122,31.046728971962615
124,31.177570093457945
125,31.570093457943926
127,31.177570093457945
129,31.177570093457945
130,30.785046728971963
132,31.439252336448597
133,31.439252336448597
135,31.439252336448597
136,31.177570093457945
138,31.177570093457945
139,31.439252336448597
141,31.177570093457945
142,31.177570093457945
144,31.30841121495327
146,31.046728971962615
147,31.439252336448597
149,31.439252336448597
150,31.439252336448597
152,31.570093457943926
153,31.177570093457945
155,31.439252336448597
156,31.177570093457945
158,31.177570093457945
160,31.177570093457945
161,31.177570093457945
163,31.177570093457945
164,31.177570093457945
166,31.177570093457945
167,31.177570093457945
169,31.177570093457945
170,31.177570093457945
172,31.177570093457945
173,31.177570093457945
175,31.177570093457945
177,31.177570093457945
178,31.177570093457945
180,31.177570093457945
181,31.177570093457945
183,31.177570093457945
184,31.177570093457945
186,31.177570093457945
187,31.177570093457945
189,31.177570093457945
